order_id,customer_name,email,phone,city,department,product,quantity,unit_price,payment_method,order_date,delivery_days,customer_rating,discount_percent,is_returned,revenue
1033,hello its,abrown@yahoo.com,(185)699-3351,Pune,IT,Mouse,4,21831.81,Card,12/25/2024,11,2,10,Yes,87327.24
1028,,wmoore@yahoo.com,001-263-493-4148x4129,Bangalore,IT,Monitor,2,38033.33,UPI,2/10/2026,3,2,15,Yes,76066.66
1005,,brandonweeks@yahoo.com,12345,Pune,Finance,Keyboard,2,48682.67,Net Banking,10/22/2024,2,5,10,No,97365.34
1084,hi sir,garciamaria@brown.net,001-799-159-1810x6176,Mumbai,IT,Laptop,8,5314.93,Cash,10/29/2025,6,1,15,Yes,42519.44
1055,,kparker@keith-gould.org,463.337.7771,,IT,Tablet,6,42733.94,UPI,3/20/2026,5,4,5,No,256403.64
1088,Pamela Rivera,,4828709321,Bangalore,HR,Mouse,10,19082,Cash,2/21/2026,7,5,10,No,190820
1036,Holly Rodriguez,emmanicholson@hotmail.com,001-057-586-0882x380,Bangalore,Finance,Keyboard,5,30972.21,UPI,12/7/2024,11,5,10,Yes,154861.05
1065,Gina Thomas,wallacerobert@gmail.com,809-144-6852x31933,Mumbai,Operations,Mobile,2,14905.53,Cash,10/14/2024,2,,10,Yes,29811.06
1030,Pamela Rich,xingram@kennedy-ochoa.info,-10231,Pune,Operations,Tablet,4,37591.55,Net Banking,11/14/2024,2,1,15,Yes,150366.2
1049,Suzanne Young,brad79@yahoo.com,9636694122,Mumbai,IT,Monitor,9,13319.29,UPI,11/7/2025,11,1,20,No,119873.61
1009,Lisa Bean,vflores@adams.com,+1-407-846-8920x179,Chennai,Marketing,Tablet,10,37698.93,Cash,1/24/2026,8,,15,No,376989.3
1089,Sara Carney,smithgeorge@martin.com,313.059.0772,Mumbai,HR,Keyboard,9,25195.97,UPI,5/29/2024,10,1,15,No,226763.73
1081,  ram kumar ,sdavis@wright.com,+1-721-943-4254x3210,Chennai,Sales,Mouse,5,12999.7,Card,5/28/2026,12,1,20,Yes,64998.5
1077,Lindsey Johnson,gzhang@yahoo.com,+1-689-698-5152x650,Hyderabad,Sales,Laptop,4,48133.64,UPI,3/17/2026,13,3,20,Yes,192534.56
1075,Monica Eaton,lori82@gross-davenport.com,+1-321-614-5316x54356,Bangalore,Sales,Laptop,1,12218.15,UPI,4/25/2025,14,3,0,Yes,12218.15
1024,Jeremy Marquez,lisachaney@harrison-baxter.biz,954.291.8512x25992,Bangalore,Operations,Monitor,5,36504.67,Cash,2/26/2025,2,2,10,Yes,182523.35
1023,Thomas Johnson,ian05@yahoo.com,(111)937-5494,Chennai,HR,Monitor,6,11371.35,Cash,9/3/2024,6,4,10,No,68228.1
1081,Paula Yu,goodmancathy@mercado.org,-10353,Mumbai,Sales,Laptop,10,14932.63,Net Banking,8/10/2025,8,3,5,Yes,149326.3
1028,Kelly Clark,wmoore@yahoo.com,001-263-493-4148x4129,Bangalore,IT,Monitor,2,38033.33,UPI,2/10/2026,3,,15,Yes,76066.66
1055,Martin Mcmillan,christopherhardy@kirby-dean.net,001-599-609-8291x056,Chennai,Operations,Tablet,10,16381.87,UPI,5/18/2026,12,3,20,No,163818.7
1098,Brooke Downs,kimroberts@yahoo.com,+1-131-245-5505x923,Pune,HR,Laptop,5,22303.5,Net Banking,4/23/2025,1,3,20,Yes,111517.5
1099,Robert Webster,hubbardkimberly@walters.net,+1-416-000-4426x86728,Delhi,Finance,Keyboard,3,46362.43,Card,5/11/2025,14,2,5,No,139087.29
1072,Rachel Simon,crystal95@campos.com,+1-137-880-2850x0016,Delhi,Operations,Monitor,6,2406.3,Cash,8/27/2025,3,4,5,No,14437.8
1008,William Smith,stewartmicheal@trevino.com,(428)068-1053x94572,Delhi,Sales,Mouse,4,20785,Card,4/8/2025,10,5,0,Yes,83140
1059,Sherri Carter,oliverthomas@gmail.com,621.503.9394,Bangalore,Sales,Monitor,9,5797.53,UPI,4/30/2025,2,2,5,No,52177.77
1017,Tiffany Griffin,tvelazquez@garrett.biz,(246)165-9199x4273,Hyderabad,Sales,Laptop,9,8616.95,Cash,2/1/2025,10,2,10,Yes,77552.55
1091,Joseph Wang,rgates@jones.biz,934-625-0742,Pune,Finance,Monitor,7,12955.24,UPI,1/25/2025,15,1,15,Yes,90686.68
1033,Terry Clark,kimberlybuckley@olson-lopez.com,324-347-0331x307,Pune,Sales,Mobile,4,9516.86,UPI,5/15/2025,3,1,15,No,38067.44
1010,Sabrina Russo,,248.964.2897,Pune,Finance,Laptop,9,38525.89,Card,12/18/2025,11,4,20,Yes,346733.01
1051,Christopher Clark,anne11@spencer-logan.biz,7069070694,Delhi,Sales,Tablet,5,11298.95,Cash,7/10/2024,8,4,15,Yes,56494.75
